precio,cl,estilo,trans,km,mod,extras,alarm
5300000,1500,1,1,74,2009,11,0
6400000,1500,0,0,120,2009,14,1
9900000,1500,0,0,1500,2016,12,0
10300000,1500,0,0,1500,2017,14,0
7450000,1500,0,0,3500,2013,16,1
10700000,1500,0,0,5000,2016,16,1
11000000,1500,1,1,8200,2016,27,1
10440000,1500,1,1,8800,2017,17,1
10203000,1500,0,1,10239,2016,1,0
9000000,1300,1,1,12000,2016,10,0
10300000,1500,1,0,12800,2017,19,0
5900000,1600,0,1,13590,2008,20,1
9900000,1500,0,1,15500,2016,20,1
9900000,1500,0,1,15500,2016,20,1
13500000,1500,0,1,15500,2016,21,1
11500000,1500,1,0,15800,2016,20,1
9000000,1500,1,0,16000,2017,18,1
9700000,1500,1,0,16500,2016,21,1
9750000,1500,0,0,17500,2016,20,1
9804000,1500,1,0,19778,2016,12,0
9000000,1500,1,0,19780,2015,15,0
8100000,1500,1,0,20000,2015,19,0
9200000,1500,0,1,20000,2015,21,1
8300000,1500,1,1,21000,2015,18,1
8200000,1500,1,1,22000,2015,20,1
9860000,1500,0,0,22000,2016,20,1
8500000,1500,1,1,22800,2015,17,1
10400000,1500,1,0,25000,2017,20,1
9200000,1500,0,1,25500,2015,15,0
10000000,1500,0,1,27600,2016,15,0
10250000,1500,1,0,28000,2016,19,0
6500000,1300,1,0,29300,2012,13,0
9000000,1500,1,1,29746,2015,18,1
8100000,1500,0,1,30000,2014,23,1
7900000,1500,0,0,30000,2014,14,1
8900000,1500,0,0,30000,2014,21,1
9600000,1500,1,1,30000,2015,16,1
9300000,1500,1,0,30588,2015,14,0
9200000,1500,0,1,30700,2015,9,0
9200000,1500,0,1,30700,2015,9,0
9195000,1500,1,0,31000,2015,20,0
9150000,1500,0,0,32000,2014,19,1
8799999,1500,0,0,32000,2015,21,1
8550000,1500,0,0,34000,2014,20,1
8550000,1500,0,0,34000,2014,20,1
8850000,1500,0,0,34000,2014,21,1
7500000,1500,1,1,36000,2012,16,1
8300000,1500,0,0,36024,2015,9,1
7400000,1500,1,1,36982,2014,13,0
8100000,1300,1,1,38000,2015,14,1
10000000,1500,1,1,38300,2016,17,0
9000000,1600,0,0,38500,2015,15,1
7500000,1500,1,1,40000,2013,20,1
8700000,1500,0,0,40235,2014,20,1
6250000,1500,0,1,40900,2012,12,0
8650000,1500,0,1,41000,2014,15,0
7900000,1500,1,0,41200,2015,18,0
8500000,1500,0,0,41500,2014,16,0
8500000,1500,0,0,41500,2014,16,0
6000000,1500,0,1,42000,2012,9,0
7200000,1500,0,0,42000,2013,15,1
8600000,1500,0,1,42000,2014,11,0
6900000,1500,1,0,43000,2012,18,1
9063000,1500,0,0,43154,2015,1,0
9600000,1500,1,1,45000,2016,18,1
8700000,1500,1,1,47000,2015,18,1
10000000,1500,0,1,47000,2015,18,0
10000000,1500,0,1,47000,2015,18,0
6200000,1500,0,1,48500,2012,9,0
6000000,1500,0,1,49000,2012,9,1
6600000,1300,1,1,49000,2012,14,1
8600000,1500,0,0,49000,2014,18,1
6200000,1500,0,0,50000,2010,9,0
6150000,1500,0,1,50100,2012,15,0
6400000,1500,1,0,51000,2012,15,1
6500000,1500,0,1,51206,2012,17,1
9850000,1500,0,1,51567,2015,17,0
6000000,1300,1,0,52000,2013,11,0
9500000,1500,0,0,52000,2015,18,1
6300000,1300,1,0,53000,2012,15,1
7200000,1500,0,0,53000,2013,12,1
8150000,1500,0,0,53000,2014,19,0
9300000,1500,0,1,53000,2014,22,1
8350000,1500,1,0,53000,2015,17,0
6450000,1500,0,1,54890,2010,12,1
6000000,1500,0,1,55000,2010,10,0
6195000,1500,0,1,55000,2012,11,0
6700000,1300,1,1,55000,2012,14,1
7500000,1298,1,1,55000,2014,3,0
6300000,1500,0,1,56500,2012,12,0
6300000,1500,0,1,56989,2012,15,0
7950000,1500,0,0,57000,2014,16,0
9200000,1300,1,1,57000,2015,17,1
8150000,1500,1,0,57000,2016,20,1
9500000,1500,0,0,57000,2016,16,1
7900000,1600,0,0,57158,2014,11,0
6250000,1500,1,1,57340,2011,16,1
6500000,1300,1,0,57382,2012,13,0
6350000,1500,0,1,57599,2012,13,0
4800000,1500,0,1,57833,2009,13,1
9344000,1500,0,1,58000,2015,20,1
6200000,1500,0,1,58349,2011,18,1
5800000,1500,0,0,59000,2011,15,1
6300000,1500,0,1,59500,2012,15,0
5500000,1500,0,1,60000,2009,18,1
5600000,1500,0,1,60000,2009,14,0
9100000,1500,0,0,60000,2014,18,1
7900000,1300,1,0,60000,2015,20,0
8975000,1500,0,1,60000,2015,23,1
9000000,1500,0,1,60000,2015,16,0
6150000,1500,0,1,60987,2012,15,0
5500000,1500,0,1,61000,2009,11,0
8800000,1500,0,1,61000,2014,20,1
6250000,1300,1,0,62000,2012,13,1
6250000,1300,1,0,62000,2012,13,1
6350000,1500,0,0,62000,2012,14,1
6195000,1500,1,1,62475,2012,17,1
6500000,1500,1,1,63000,2013,8,0
5449000,1500,0,1,64000,2009,16,0
4800000,1500,0,1,64325,2009,9,1
6100000,1500,0,1,64394,2010,15,1
6145000,1500,0,1,65000,2012,18,1
6300000,1500,0,1,65000,2012,18,1
6400000,1500,0,0,65000,2012,15,1
8700000,1500,0,1,65000,2015,15,0
8900000,1500,1,0,66000,2015,20,0
6300000,1500,0,1,67050,2012,12,0
5700000,1500,0,1,67994,2010,17,1
8569930,1500,0,1,68000,2014,8,0
8569930,1500,0,1,68000,2014,8,0
6600000,1300,1,1,68500,2011,16,1
4850000,1500,1,1,69000,2009,11,1
6500000,1500,0,1,69000,2012,14,1
10500000,1500,0,1,69000,2015,15,0
6300000,1500,0,1,69521,2012,12,0
6100000,1500,0,1,70000,2009,12,0
6000000,1500,0,1,70000,2010,9,0
5950000,1300,1,0,70000,2011,17,0
6150000,1500,0,1,70535,2012,11,0
6700000,1500,0,1,70992,2012,22,1
6200000,1500,0,1,71000,2012,15,0
7125000,1500,0,0,71700,2013,17,1
5200000,1300,0,0,72000,2009,17,1
5650000,1500,1,1,72000,2010,14,1
6750000,1500,0,1,72000,2012,12,0
6500000,1500,0,1,72000,2012,10,0
6750000,1500,0,1,72000,2012,13,0
5600000,1500,0,1,72549,2009,18,1
9000000,1600,0,0,72800,2014,15,1
9250000,1500,0,1,73000,2015,17,0
9000000,1500,0,1,73650,2015,4,0
5700000,1500,1,1,74100,2009,20,1
5650000,1500,0,1,74520,2011,20,1
5000000,1500,1,1,75000,2009,7,0
5300000,1500,1,1,75000,2009,14,1
8250000,1600,0,0,75000,2014,18,1
8600000,1500,0,0,75000,2014,17,0
8600000,1500,0,0,75000,2014,17,0
9800000,1500,0,1,75000,2015,21,1
5699000,1500,0,1,76000,2009,6,0
5950000,1500,0,1,77183,2010,19,1
6000000,1500,0,1,77360,2009,12,1
5600000,1500,0,1,78000,2009,0,0
5850000,1500,0,1,78000,2010,12,1
6250000,1500,0,1,78000,2012,12,0
6500000,1500,0,1,78000,2012,9,0
5000000,1500,0,1,78800,2009,13,0
5450000,1500,0,0,79000,2009,16,1
5250000,1500,1,1,79000,2010,15,1
5900000,1500,0,0,80000,2009,17,1
5300000,1300,1,0,80000,2010,9,0
5750000,1500,1,1,80000,2010,17,1
6100000,1500,0,1,80000,2011,19,1
6200000,1500,0,0,80000,2012,19,1
6700000,1500,1,1,80000,2013,20,1
7650000,1500,0,1,80000,2013,20,1
9500000,1500,0,0,80000,2014,17,1
5175000,1500,0,1,80200,2009,15,1
5450000,1500,0,1,81000,2009,17,0
5950000,1500,0,1,81000,2012,11,0
5700000,1500,0,1,82000,2009,9,0
4900000,1500,0,1,82000,2010,9,0
6300000,1600,0,1,82000,2012,18,0
5950000,1500,0,0,82130,2008,13,0
5700000,1500,0,0,83000,2010,14,1
6500000,1500,0,1,83000,2012,15,1
9000000,1500,0,0,83000,2014,13,0
6500000,1500,0,1,83500,2010,15,1
8750000,1800,1,0,84000,2011,19,1
5900000,1500,0,1,84500,2009,14,1
4400000,1500,0,1,85000,2009,11,1
4750000,1600,0,0,85000,2009,8,0
5600000,1500,0,1,85000,2009,11,1
5700000,1300,1,1,85000,2011,17,1
6000000,1500,0,0,85000,2011,13,1
6400000,1500,0,1,85000,2012,13,0
7500000,1500,0,1,85000,2014,7,0
6575000,1500,0,1,85100,2012,12,0
5650000,1500,1,1,86000,2009,13,0
6450000,1500,0,1,86000,2011,14,1
7600000,1500,0,1,86000,2013,17,1
7950000,1500,1,1,86072,2014,22,1
5500000,1500,0,0,87000,2009,15,1
5500000,1500,0,1,88000,2010,19,1
5200000,1500,0,1,88450,2011,12,1
5650000,1500,0,1,89000,2009,14,0
5100000,1600,0,1,89100,2011,13,1
6200000,1600,0,0,89230,2009,8,0
6650000,1500,0,1,89958,2011,14,0
5000000,1500,1,1,90000,2009,13,1
5100000,1400,1,0,90000,2009,13,1
5900000,1500,0,1,90000,2010,10,0
6550000,1500,0,1,90000,2010,22,1
6200000,1600,0,0,90000,2011,6,0
6500000,1500,0,0,90000,2013,15,0
6600000,1500,0,0,90000,2013,15,0
6500000,1500,0,0,91000,2011,16,1
5500000,1500,0,1,91700,2010,15,1
4400000,1500,0,1,92000,2009,9,0
5650000,1500,0,1,92000,2009,20,1
5990000,1300,1,0,92000,2011,14,1
5750000,1500,0,1,92123,2010,11,0
6500000,1500,0,1,92657,2012,13,0
5500000,1300,1,1,94000,2009,19,1
6700000,1300,1,0,94000,2012,19,1
6000000,1500,1,1,95000,2010,13,0
5950000,1500,0,0,96000,2009,7,0
5750000,1300,0,0,97200,2011,13,1
7200000,1500,0,0,97432,2013,9,0
6000000,1500,0,1,97439,2010,17,0
5395000,1500,0,1,98000,2009,9,0
7200000,1600,0,1,99200,2012,4,0
5950000,2000,1,1,100000,2009,0,0
5725000,1500,0,1,100000,2011,12,0
5300000,1500,0,1,100000,2012,12,0
6500000,1500,0,1,100000,2012,17,1
6900000,1500,0,0,100000,2012,22,1
6400000,1600,0,1,101000,2012,14,1
5395000,1500,1,1,102000,2009,18,1
5675000,1500,0,0,103000,2010,15,1
5950000,1500,0,0,103000,2011,10,0
5700000,1500,0,1,104000,2010,7,0
6150000,1500,1,1,105000,2012,19,0
5800000,1600,0,1,106000,2009,19,1
5800000,1500,0,1,106700,2010,13,0
6490000,1496,0,0,107940,2013,13,0
5200000,1600,0,1,108025,2010,15,0
6700000,1500,1,1,108151,2011,14,0
5200000,1300,1,0,110000,2009,13,1
6350000,1500,0,1,110000,2012,12,0
6500000,1500,0,1,110000,2012,0,0
6900000,1500,0,1,110000,2013,8,0
8300000,1500,0,0,110000,2014,13,1
8300000,1500,0,0,110000,2014,13,1
6350000,1500,,1,112000,2012,13,1
5750000,1500,0,1,112336,2010,14,0
5500000,1500,0,1,112964,2010,14,0
6100000,1500,0,1,114000,2012,13,0
5300000,1500,0,0,114800,2009,16,1
6400000,1500,0,0,115000,2013,8,0
6450000,1500,0,0,115000,2013,7,0
6775000,1500,0,0,115000,2013,16,0
5600000,1300,1,0,116000,2009,12,1
6325000,1500,0,1,116000,2012,18,1
7000000,1300,1,0,116000,2012,17,1
5500000,1500,1,1,116608,2009,10,0
6400000,1500,0,0,117000,2011,11,0
6400000,1500,0,0,117000,2011,11,0
5900000,1500,0,0,117000,2012,14,0
7500000,1500,0,0,117000,2013,11,0
9100000,1500,0,0,117000,2014,14,0
5200000,1500,0,1,118967,2009,23,1
3995000,1500,1,0,119000,2009,14,1
5700000,1500,1,0,119000,2010,16,1
6800000,1600,0,1,119000,2012,7,1
4150000,1500,1,1,120000,2009,10,0
5200000,1600,0,0,120000,2009,14,0
5790000,1300,1,0,120000,2011,15,1
5800000,1300,1,0,121000,2010,16,1
6500000,1300,1,0,123000,2012,14,1
6700000,1500,0,1,123463,2009,14,0
5600000,1500,0,0,124000,2009,14,1
4900000,1500,1,1,125000,2010,15,1
5500000,1500,0,1,125000,2010,16,0
6800000,1500,0,0,127000,2009,11,1
7700000,1500,0,0,127000,2013,17,1
5200000,1500,0,1,128000,2009,13,0
6500000,1500,0,1,128000,2012,11,1
4950000,1500,0,0,131500,2009,14,1
5500000,1500,0,1,132000,2009,13,0
5800000,1500,0,1,134040,2009,2,0
5500000,1500,0,0,134221,2010,10,0
6300000,1500,0,0,135000,2011,12,1
6300000,1500,0,0,135000,2011,12,1
5950000,1500,0,0,136000,2011,11,1
6300000,1600,0,0,136000,2011,11,1
6900000,1500,0,1,136000,2012,15,1
3000000,1500,0,1,137508,2009,9,0
7500000,1500,0,0,138500,2013,7,0
6500000,1500,0,0,138740,2010,2,0
4500000,1300,1,0,140000,2009,11,1
5400000,1500,0,1,140000,2009,11,1
5900000,1500,0,1,140000,2011,17,1
7100000,1300,1,0,140000,2012,15,1
5650000,1500,0,0,142000,2009,13,1
5700000,1500,1,1,144000,2010,14,0
5975000,1500,0,1,145000,2010,15,0
6190000,1500,0,0,145400,2010,15,1
6850000,1300,0,0,147000,2012,19,1
5350000,1500,1,1,150000,2009,11,1
5900000,1500,0,0,150000,2009,15,1
5900000,1500,1,1,150000,2012,15,0
5990000,1500,0,1,160000,2009,19,1
5450000,1500,0,1,160000,2010,11,1
6200000,1500,0,0,160000,2012,10,0
4950000,1500,0,0,171000,2009,11,1
5650000,1500,0,0,173000,2009,19,1
5300000,1500,0,1,175000,2010,10,1
5500000,1500,0,1,178707,2009,11,0
6000000,1500,0,1,180000,2011,18,1
4800000,1500,0,1,190000,2011,9,0
6900000,1500,0,0,190000,2012,11,0
6745000,1496,0,0,215452,2013,10,0
5800000,1600,0,1,312103,2009,11,0
7000000,1500,0,1,580000,2011,15,1
6150000,1500,0,0,740000,2009,19,1
